time,open,high,low,close,tick_volume,spread,real_volume,volume
2025.04.29 09:00,19542.7,19620.16,19532.2,19610.0,8467.0,0,0,
2025.04.29 10:00,19609.24,19609.25,19541.26,19581.0,8003.0,0,0,
2025.04.29 11:00,19581.22,19588.51,19547.22,19565.96,6599.0,0,0,
2025.04.29 12:00,19565.99,19579.75,19447.46,19495.24,8692.0,0,0,
2025.04.29 13:00,19495.22,19530.26,19487.7,19503.47,8762.0,0,0,
2025.04.29 14:00,19503.25,19536.99,19445.46,19448.97,11651.0,0,0,
2025.04.29 15:00,19449.75,19544.95,19378.7,19492.97,19049.0,0,0,
2025.04.29 16:00,19493.21,19606.96,19465.75,19596.9,20511.0,0,0,
2025.04.29 17:00,19596.22,19614.01,19500.24,19537.7,18098.0,0,0,
2025.04.29 18:00,19537.96,19604.95,19470.5,19493.26,17176.0,0,0,
2025.04.29 19:00,19493.21,19666.76,19482.69,19655.76,16893.0,0,0,
2025.04.29 20:00,19654.45,19686.88,19638.07,19645.59,16294.0,0,0,
2025.04.29 21:00,19644.84,19681.34,19614.57,19644.62,16525.0,0,0,
2025.04.29 22:00,19645.08,19666.63,19566.61,19613.58,8327.0,0,0,
2025.04.30 00:00,19595.55,19610.63,19563.77,19564.57,4017.0,0,0,
2025.04.30 01:00,19564.57,19573.27,19544.06,19562.29,4438.0,0,0,
2025.04.30 02:00,19559.82,19583.29,19518.95,19530.83,6918.0,0,0,
2025.04.30 03:00,19530.77,19544.09,19505.58,19512.33,6529.0,0,0,
2025.04.30 04:00,19512.27,19527.32,19499.88,19508.97,5159.0,0,0,
2025.04.30 05:00,19508.02,19526.78,19484.77,19522.81,5101.0,0,0,
2025.04.30 06:00,19522.78,19539.58,19509.78,19518.82,4062.0,0,0,
2025.04.30 07:00,19518.82,19537.81,19503.07,19536.58,4996.0,0,0,
2025.04.30 08:00,19536.28,19571.7,19533.24,19563.97,6299.0,0,0,
2025.04.30 09:00,19562.72,19594.25,19562.45,19585.26,7782.0,0,0,
2025.04.30 10:00,19584.72,19622.41,19558.96,19574.47,8195.0,0,0,
2025.04.30 11:00,19574.49,19613.91,19573.46,19588.76,5542.0,0,0,
2025.04.30 12:00,19588.99,19592.49,19542.7,19569.7,6335.0,0,0,
2025.04.30 13:00,19569.97,19599.72,19510.95,19527.47,8271.0,0,0,
2025.04.30 14:00,19526.99,19534.24,19256.96,19285.25,15799.0,0,0,
2025.04.30 15:00,19284.95,19306.45,19105.95,19118.0,20277.0,0,0,
2025.04.30 16:00,19120.25,19355.71,19104.45,19331.49,21672.0,0,0,
2025.04.30 17:00,19328.2,19454.26,19327.97,19442.72,19953.0,0,0,
2025.04.30 18:00,19439.0,19471.7,19357.22,19437.21,18349.0,0,0,
